#separator:tab
#html:true
#guid column:1
#tags column:6
uIk^cZVEq<	相変わらず	相[あい] 変[か]わらず	as before [usual]		0007 0125
P>f-Znz.TE	跡	跡[あと]	remains, site		0030
BJmqCk{lP9	アドレス帳	アドレス 帳[ちょう]	address book		0173
iJ@8:k<9]0	暴れる	暴[あば]れる	to act violently		0018
"ER#ermexXb"	甘み	甘[あま]み	sweetness		0179
oL~$W|UHwi	編み上がる	編[あ]み 上[あ]がる	to knit completely		0160
IH2.Ckp_r1	編み物	編[あ]み 物[もの]	knitting		0026
ifFMh+(4+7	編む	編[あ]む	to knit		0018
tS$Yu(!$)0	危うい	危[あや]うい	in danger, dangerous		0107
"gGB3vm`#n~"	怪しむ	怪[あや]しむ	to doubt, to suspect		0178
kzW+qRpzqL	荒い	荒[あら]い	rough, coarse		0006 0100
>0@lMAP>z	粗い	粗[あら]い	rough, coarse		0100
Bh}Ty24eW`	あらかじめ	あらかじめ	beforehand, in advance		0019 0125
cfC[8GlFaA	あらし	あらし	storm		0034
"uepViF?o#!"	粗筋	粗[あら] 筋[すじ]	outline		0026
C]UNyl<:`l	改めて	改[あらた]めて	again		0015 0137
k7!^5wfS8G	改める	改[あらた]める	to reform, to alter		0066
ikmXsH!83E	あらゆる	あらゆる	every		0106
P{*{/0-20^	ありがたい	ありがたい	appreciate, grateful		0010
K*R-VYj;WO	ありがたさ	ありがたさ	blessing		0179
MyE!ZLK%TC	歩き出す	歩[ある]き 出[だ]す	to begin to walk		0160
O6^9IH2I+$	歩き回る	歩[ある]き 回[まわ]る	to walk around, to roam around		0160
i^452m5H4Q	あれこれ	あれこれ	this and that		0107
G1JYj,zDp,	荒れる	荒[あ]れる	to get rough		0022
ffGF`Yos01	慌ただしい	慌[あわ]ただしい	busy		0042 0118
LKNH?KL&<:	慌てる	慌[あわ]てる	to panic, to get flustered		0006
F$%81MBW8{	哀れ	哀[あわ]れ	pitiful		0010
dpVU;Z7%BW	案	案[あん]	proposal, idea		0042
uL%({F)HlK	～案	～ 案[あん]	～ plan [proposal]		0067
p>rjiI_C31	安易	安[あん] 易[い]	easy		0107
x=Kr*?lT*P	案外	案[あん] 外[がい]	unexpectedly		0047 0136
b)@h5<c$!2	暗記	暗[あん] 記[き]	learning by heart		0038
xdgt=?zD?%	安全性	安[あん] 全[ぜん] 性[せい]	safety		0074 0075 0173
xfp;~0p[]$	案の定	案[あん]の 定[じょう]	as expected		0107
Kc.rfoJay}	異～	異[い]～	different ～		0166
QNY(1Y1sKF	言い合う	言[い]い 合[あ]う	to argue, to have an exchange		0160
I3wL)6[hp[	言い出す	言[い]い 出[だ]す	to bring up a subject		0160
L5GBv{h-JC	言いつける	言[い]いつける	to tell		0010 0011
vMbtNpy<s*	言い張る	言[い]い 張[は]る	to insist on, to stick to one's point		0113
jv0^CEP+h@	意外	意[い] 外[がい]	unexpected		0075 0136
E&c=[RgN&F	生かす	生[い]かす	to make good use of		0082
OZNWckq)0(	生き生き	生[い]き 生[い]き	lively		0107 0143
m}f-OE6+<0	息が合う	息[いき]が 合[あ]う	to do something together smoothly		0155
"iS,u@4/#qF"	息が切れる	息[いき]が 切[き]れる	to be short of breath		0155
hW.y.t3U9<	息が長い	息[いき]が 長[なが]い	long-standing		0155
m=8B%C=B<z	いきなり	いきなり	suddenly		0063 0137
ciLXx+jWrE	意義深い	意[い] 義[ぎ] 深[ぶか]い	significant		0047
HAzH<r4:YQ	異業種	異[い] 業[ぎょう] 種[しゅ]	different industries		0166
k1um6WUt<E	幾分	幾[いく] 分[ぶん]	somewhat		0106
C;;qo3~=X=	いくら	いくら	however		0015 0131
w;n7BwuoW)	いくらか	いくらか	a little		0124
h>_O7ze71w	意識	意[い] 識[しき]	consciousness		0014
oat=k7drXI	いずれ	いずれ	some day		0082 0106 0125
yg23H]FjWU	依然	依[い] 然[ぜん]	still		0059 0125
dTiBSFNuI^	以前	以[い] 前[ぜん]	before		0082
kY.j^5`me}	偉大	偉[い] 大[だい]	great		0066
y390DUdQ[)	抱く、抱く	抱[いだ]く、 抱[だ]く	抱[いだ]く：to have, to cherish<br>抱[だ]く：to hold [hug]		0018 0042
wW}E^?7w^;	痛み	痛[いた]み	pain, ache		0179
"BsB4U3F(<#"	痛み出す	痛[いた]み 出[だ]す	to start to hurt		0160
O%*EzG~Gj^	痛む	痛[いた]む	to ache		0178
j,VGWwoEdv	位置	位[い] 置[ち]	location, position		0083
"x$o*W>#mW0"	一応	一[いち] 応[おう]	just in case, at any rate		0023 0106 0136
x=uAO/uqet	一時	一[いち] 時[じ]	temporary, for some time		0082
Ki~v`mLZin	一時間目	一[いち] 時[じ] 間[かん] 目[め]	first period		0038 0039
s--%ksaD|Z	一段と	一[いち] 段[だん]と	even more		0035 0106 0124
Ls%lezrB8G	一日おき	一[いち] 日[にち]おき	every other day		0161
xW:7|tJHLI	一面	一[いち] 面[めん]	front page		0046
zEEoo<GNzj	一流～	一[いち] 流[りゅう]～	prestigious [leading] ～		0043
OOmHk{I;lA	一流企業	一[いち] 流[りゅう] 企[き] 業[ぎょう]	blue-chip company		0042 0043
Fx`D0.!m{<	一流校	一[いち] 流[りゅう] 校[こう]	top school		0043
A-=R;;x4)2	一家	一[いっ] 家[か]	whole family		0002
JOaj~EFHxI	一切	一[いっ] 切[さい]	absolutely (not)		0007 0067 0130
OO%1`H-Zy:	一瞬	一[いっ] 瞬[しゅん]	an instant		0051
"Gm(=#o^s(P"	一斉に	一[いっ] 斉[せい]に	all together		0083
DutMol><]q	一層	一[いっ] 層[そう]	much more		0079 0106 0124
z>D!@t[}lt	一体	一[いっ] 体[たい]	(what [why]) on earth [the heck]		0131
J;&{~^p,/*	いったん	いったん	temporarily, once		0063 0106 0125
cr;hKSx7E8	一致	一[いっ] 致[ち]	agreement, consistency		0113
NLv.}X|B^b	一定	一[いっ] 定[てい]	fixed, constant		0082
"h-O@y57v#a"	いつでも	いつでも	anytime		0082
eM)Nb/X}5	いつの間に	いつの 間[ま]に	before you know it, without even noticing		0011 0125
shhsrNeOT8	いつまでも	いつまでも	forever		0082
I?nO.r.anM	移転	移[い] 転[てん]	transfer		0113
JyWH*Hz~kv	遺伝	遺[い] 伝[でん]	inheritance		0074
AgE?r&.46]	遺伝子	遺[い] 伝[でん] 子[し]	gene		0074
v5HL>`<f38	遺伝子組み換え	遺[い] 伝[でん] 子[し] 組[く]み 換[か]え	genetic recombination		0074
yAkhHylXD_	稲	稲[いね]	rice plant		0034
GW):]LpDPa	祈る	祈[いの]る	to pray		0054
rM_81{j[<o	威張る	威[い] 張[ば]る	to put on airs		0006
k:UtaK2?Y}	違反	違[い] 反[はん]	violation		0026
vX/q{<{lwm	～違反	～ 違[い] 反[はん]	～ violation		0059
Yle0&fLp	衣服	衣[い] 服[ふく]	clothes		0018
qnZ^xh5O}N	今更	今[いま] 更[さら]	(too late) now		0118
yWla:&Pfq7	未だに	未[いま]だに	yet, even now		0118
nY>F76xT+V	今に	今[いま]に	sooner or later, in time		0023 0125
KQ:V[ZAK:o	今にも	今[いま]にも	at any moment		0118
lARjGCJK@w	今や	今[いま]や	now (in contrast with the past)		0051 0118
p&+kUfR;3I	異民族	異[い] 民[みん] 族[ぞく]	different race		0166
E7vLCikrK=	嫌がる	嫌[いや]がる	to hate		0010 0011
MCRV.l/5g1	いよいよ	いよいよ	finally		0106 0136
pLYI5t{pLZ	依頼	依[い] 頼[らい]	request, commission		0042
IC;-x8Xiy0	以来	以[い] 来[らい]	since		0082
giek*?kV@B	いらいら	いらいら	irritation		0006 0143
I(>$mWaYIs	医療用	医[い] 療[りょう] 用[よう]	for medical use		0173
iV~(-_Mu{f	いる	いる	to roast		0018
I8]@*?ZPz]	色違い	色[いろ] 違[ちが]い	different colours		0161
c?T&!.mgCT	色遣い	色[いろ] 遣[づか]い	colour scheme		0161
O=x2*xM~II	～員	～ 員[いん]	～ employee		0172
lOiy6$$V,7	印刷機能	印[いん] 刷[さつ] 機[き] 能[のう]	printing function		0051
CiLD$z]kR&	印象的	印[いん] 象[しょう] 的[てき]	impressive		0026 0027
v6O[DG!c@e	インストール	インストール	install		0050
CTH*NOTYx=	引退	引[いん] 退[たい]	retirement		0026
gw~_ggWuTK	インタビュー	インタビュー	interview		0046
y>@kg2@6B&	インフルエンザ	インフルエンザ	influenza		0022
N=i/l-%uZ|	引用	引[いん] 用[よう]	citation, quotation		0038
AFsh{LIBHf	ウイルス	ウイルス	virus		0022
"O(QhMG:#$9"	ウイルス対策	ウイルス 対[たい] 策[さく]	anti-virus		0050 0051
gz6`28?hD>	ウェブサイト	ウェブサイト	Web site		0050
MDo[uXk651	植える	植[う]える	to plant		0070
ru}:]VM,cj	受け～	受[う]け～	receive [accept, take] ～		0161
saU^/67>09	受け入れる	受[う]け 入[い]れる	to accept		0161
kD<(jv6,Mp	受け継ぐ	受[う]け 継[つ]ぐ	to inherit		0074
weh.]kqN(j	受け取る	受[う]け 取[と]る	to receive		0161
q%`P6O.wyX	受け持つ	受[う]け 持[も]つ	to be in charge of		0038 0161
wN9sU)o%i$	失う	失[うしな]う	to lose		0014
n5a19~s14=	薄暗い	薄[うす] 暗[ぐら]い	dim		0034
rL6@M2is{=	薄まる	薄[うす]まる	to become diluted (vi.)		0178
e8X!J&8|$|	薄める	薄[うす]める	to dilute (vt.)		0178
"btj1t=#f!0"	歌い出す	歌[うた]い 出[だ]す	to begin to sing		0160
mv/_agj|p(	疑う	疑[うたが]う	to doubt		0010
sBWLUVoFI!	打ち～	打[う]ち～	(used to add emphasis)		0161
g_H_Cj`VoL	打ち合わせ	打[う]ち 合[あ]わせ	meeting		0054 0112
x14/N@h]]I	打ち合わせる	打[う]ち 合[あ]わせる	to have a meeting		0161
L|7.d:XO[=	内気	内[うち] 気[き]	shy		0107
oY%bW{z|&w	打ち消す	打[う]ち 消[け]す	to deny, to contradict		0113 0161
"imN~l1H#_o"	宇宙飛行士	宇[う] 宙[ちゅう] 飛[ひ] 行[こう] 士[し]	astronaut		0172
rxh>Qb)}+?	うっかり	うっかり	carelessly		0107 0136
Dxv`VvCV@+	訴えかける	訴[うった]えかける	to appeal		0160
"Lu+3+71r#$"	訴える	訴[うった]える	to take legal action, to appeal, to complain		0066 0088
pCGWaCsX>^	腕が上がる	腕[うで]が 上[あ]がる	to become more skilful		0149
BX}DVgN),[	腕がいい	腕[うで]がいい	to be skilled		0149
QP6]hl&z>.	腕を上げる	腕[うで]を 上[あ]げる	to improve one's skill		0149
qU)c6Z.>R@	奪う	奪[うば]う	to steal		0058
qhzW[iEY$Q	うまみ	うまみ	taste		0179
"J#wY;wJe3N"	生まれる	生[う]まれる	to be born		0070
b!-+URHnsQ	生み出す	生[う]み 出[だ]す	to produce, to create		0074
DU-1?{~TSZ	埋める	埋[う]める	to bury, to fill in		0054
rzU@A/.O>>	敬う	敬[うやま]う	to respect		0010
b.[FF?N!3u	裏	裏[うら]	back, reverse side		0101
n3^1d@eNFH	裏返す	裏[うら] 返[がえ]す	to turn over, to reverse		0018 0019
J=/BgEo$Q%	裏切る	裏[うら] 切[ぎ]る	to betray		0006
rWFR]~*(e/	恨む	恨[うら]む	to hold a grudge		0010
P1gZlBkd{R	うらやましい	うらやましい	envious		0010
bla7Cd9>Rb	うらやむ	うらやむ	to envy		0010 0178
omd[hL5EFB	うんと	うんと	really, very		0106
gmNB~CWACd	永遠	永[えい] 遠[えん]	eternity		0054
hFGG%!d_vA	影響	影[えい] 響[きょう]	influence		0070
tlFk;oa@>d	英国式	英[えい] 国[こく] 式[しき]	British style [system]		0173
zt.Y.RY>-%	衛生的	衛[えい] 生[せい] 的[てき]	hygienic, sanitary		0022
td`Nl0SJ$w	映像	映[えい] 像[ぞう]	image, picture		0046
ENXoNmYp7/	英文学科	英[えい] 文[ぶん] 学[がっ] 科[か]	English department		0038 0039
c5jRQGK91q	英雄	英[えい] 雄[ゆう]	great man, hero		0066
c4+r!-VU|H	栄養	栄[えい] 養[よう]	nutrition		0014
wj7E~dFqlm	えさ	えさ	feed, food		0070
pmW<t{Ck2|	エチケット	エチケット	etiquette		0010
r;Gl~XF`.k	エネルギー資源	エネルギー 資[し] 源[げん]	energy resources		0062 0063
i@^pVE+G%;	獲物	獲[え] 物[もの]	prey		0070
J&K:0PgY)7	円	円[えん]	circle		0078
H[j>p:cqnj	～園	～ 園[えん]	～ garden		0055
wWf[XZ<gP4	宴会	宴[えん] 会[かい]	party		0014
AAZ;now0gz	演技	演[えん] 技[ぎ]	acting		0026
Ka?mQI1/bs	演劇	演[えん] 劇[げき]	play		0026
m@?.aul|Pm	園児	園[えん] 児[じ]	kindergarten pupil		0055
lzbqFa{N,L	演習	演[えん] 習[しゅう]	practice		0038
B%u4dBzK`N	援助	援[えん] 助[じょ]	aid, assistance		0112
u-VBH=iO/^	援助活動	援[えん] 助[じょ] 活[かつ] 動[どう]	aid activities		0066 0067
JQU`um_C(0	演説	演[えん] 説[ぜつ]	speech, address		0066
Asctz][%@g	演奏	演[えん] 奏[そう]	performance		0026
rV)?U~`!Bx	追い～	追[お]い～	catch ～		0161
z|L|2!!ew*	追いかける	追[お]いかける	to chase		0042 0161
gX0`Py&b3;	追い越す	追[お]い 越[こ]す	to overtake		0161
dvwG~Ep2pM	追い出す	追[お]い 出[だ]す	to chase away, to throw out		0161
ifUD[]I-ir	追い付く	追[お]い 付[つ]く	to overtake		0161
ts|.}7Ch7h	負う	負[お]う	to owe		0062
fC7TQQ5ZUD	応援	応[おう] 援[えん]	to support, cheering for		0026
JqJJAJziAM	欧州連合	欧[おう] 州[しゅう] 連[れん] 合[ごう]	European Union		0067
QTYbTdj_*k	横断	横[おう] 断[だん]	crossing		0030
DAEX2J)P4^	往復	往[おう] 復[ふく]	both ways, round trip	反.  片[かた] 道[みち]<br>one way	0030
meJvq-dr!s	大～、大～	大[おお]～、 大[だい]～	大[おお]～：big [great, extreme] ～<br>大[だい]～：big [major] ～		0079 0166
QxquJwjd9`	大雨洪水警報	大[おお] 雨[あめ] 洪[こう] 水[ずい] 警[けい] 報[ほう]	heavy rain and flood warning		0058 0059
OU);bd>`jT	大いに	大[おお]いに	hugely, very much		0078 0106 0124
ws6UmmiQvQ	大げさ	大[おお]げさ	exaggerated		0106
iH1m.CLegn	大手自動車メーカー	大[おお] 手[て] 自[じ] 動[どう] 車[しゃ]メーカー	major car manufacturer		0062 0063
b03H;<hly1	大通り	大[おお] 通[どお]り	main street		0030
n-[}m2[OPg	オーバー	オーバー	exaggerated		0106
GK7I67:&BB	大幅	大[おお] 幅[はば]	major, drastic		0079
p9drf(nxzq	大まか	大[おお]まか	rough	反.  詳[しょう] 細[さい]<br>details	0046
xG8g0zMr=.	丘	丘[おか]	hill		0034
lZ^9KRa+OG	お母様	お 母[かあ] 様[さま]	mother		0002
ut$)L.5?tC	犯す	犯[おか]す	to commit		0058
iJ{wm_/*&|	沖	沖[おき]	out to sea	反.  岸[きし]<br>coast	0034
CG~n|7:dbv	～おき	～おき	every ～		0161
w`Ui>lY:]u	補う	補[おぎな]う	to make up for		0078
udfclJOrjD	奥様	奥[おく] 様[さま]	wife		0002
C2lQ8NKPqr	怒り出す	怒[おこ]り 出[だ]す	to lose one's temper		0160
vWXp1YgzQ(	押さえる	押[お]さえる	to hold down, to restrain		0088
i?e_PERMW-	抑える	抑[おさ]える	to keep under control, to suppress		0088
Poq8^$,ofv	納める	納[おさ]める	to pay		0062
dw.LvoFtPX	お辞儀	お 辞[じ] 儀[ぎ]	bow		0002
vyF%@?UG`V	惜しむ	惜[お]しむ	to regret, to begrudge		0054 0178
Bmj^2T6u83	お嬢ちゃん	お 嬢[じょう]ちゃん	little daughter		0002
jO@trtUk^p	雄	雄[おす]	male (animal)		0070
v@)06<`W<	汚染	汚[お] 染[せん]	pollution		0070
tiXkAl$17	襲う	襲[おそ]う	to attack		0070
k]t@oSeHGw	恐らく	恐[おそ]らく	perhaps		0063 0107 0131
xOmTEa1Kno	恐れる	恐[おそ]れる	to fear		0010
"yY*k>vz#~U"	恐ろしい	恐[おそ]ろしい	terrible		0100
B2wJ$l/~*,	お互いに	お 互[たが]いに	each other, mutually		0107
lYL(?Tp6=4	穏やか	穏[おだ]やか	calm, mild		0006 0100
oq0xPv.77L	落ち込む	落[お]ち 込[こ]む	to be depressed		0113 0160
L^r^sAl{-4	おっとり	おっとり	gentle, easy-going		0143
N]bO&eR/Q/	お父様	お 父[とう] 様[さま]	father		0002
rGD?.3@@a~	おどおど	おどおど	anxiously		0143
EQU---EV..	驚く	驚[おどろ]く	to be surprised		0113
"t5@&4#KjtX"	同い年	同[おな]い 年[どし]	same age		0002
Lk1ng^rEmT	各々	各[おの] 々[おの]	each		0112
L?JyJz8O?j	オフィス街	オフィス 街[がい]	office street [area]		0172
jIhn1&d>ze	（お）坊ちゃん	（お） 坊[ぼっ]ちゃん	boy		0002
HwJ}9~FQxU	お盆	お 盆[ぼん]	tray		0014
D*^M.DMFMK	主	主[おも]	main		0046
yk]|D?fZ68	思いがけない	思[おも]いがけない	unexpected		0107
ilWAR=cfor	思い切って	思[おも]い 切[き]って	daringly		0011 0137
N`ZBg&,|kD	思い切り	思[おも]い 切[き]り	to one's heart's content		0137
hhfIDUy,YU	思い込む	思[おも]い 込[こ]む	to be under the impression		0160
xTBvBL!2EF	思いっ切り	思[おも]いっ 切[き]り	with all one's heart		0137
NiKKFC}e]Z	思いつく	思[おも]いつく	to hit upon, to come up with		0042
h_gW<FY$NA	思いのほか	思[おも]いのほか	unexpectedly		0071 0136
"q5JyI#seW?"	面白み	面[おも] 白[しろ]み	fun		0179
n*vGhzI%~S	主に	主[おも]に	mainly		0063 0137
i&5x]R{0wj	重み	重[おも]み	dignity, weight		0179
Q1^z>GI&Ru	思わず	思[おも]わず	accidentally, automatically		0107 0136
ovsH&:M(l}	親孝行	親[おや] 孝[こう] 行[こう]	dutiful to one's parents		0002
rt}AsN`g-T	およそ	およそ	about		0079 0107 0137
E9Zs`mLrtu	及ぶ	及[およ]ぶ	to reach, to extend		0070
s7Kfg3yENy	及ぼす	及[およ]ぼす	to exert, to cause		0070
Fhf2.?Tgbr	お詫び	お 詫[わ]び	apology		0113
qMR-dwO>e;	恩	恩[おん]	obligation, debt of gratitude		0010
"Gg:6*u!#@w"	音声	音[おん] 声[せい]	sound		0046
orFpL,Ai6)	温泉街	温[おん] 泉[せん] 街[がい]	spa town		0172
BIgY3_>XVU	温暖	温[おん] 暖[だん]	warm		0034
"Br`q4LyQp#"	温暖化	温[おん] 暖[だん] 化[か]	global warming		0070 0173
B$Lrfza_-k	おんぶ	おんぶ	piggyback ride		0018
rtpJxDi@i<	オンライン～	オンライン～	online ～		0051
"fP#sFs?h8O"	オンラインショッピング	オンラインショッピング	online shopping		0050 0051
w*6!WW*=@Y	オンラインショップ	オンラインショップ	online shop		0051
nRO^D[I@(A	～化	～ 化[か]	-ise, -ify, turn into ～		0071 0173
w~x_pOH`pF	～家	～ 家[か]	-er, -or, -ist (performer of an activity)		0172
"i#m[qLi}:B"	～界	～ 界[かい]	～ world		0043
C[q_&BG(Tg	～街	～ 街[がい]	～ area [town]		0172
wA]jZGvV3>	会員証	会[かい] 員[いん] 証[しょう]	membership card		0173
lUO:6}x4<>	開花	開[かい] 花[か]	blooming		0070
"dvvN#fGTj)"	改革	改[かい] 革[かく]	reform		0119
tIAR/ElktH	海岸沿い	海[かい] 岸[がん] 沿[ぞ]い	along the coast		0161
Q0=u(u0y]>	会計士	会[かい] 計[けい] 士[し]	accountant		0043 0172
A@{OERsyW8	解決	解[かい] 決[けつ]	solution		0070
"E{oO#L4LMb"	解決済み	解[かい] 決[けつ] 済[ず]み	resolved		0161
B_X*EA_j$W	外交官	外[がい] 交[こう] 官[かん]	diplomat		0172
CaJx?iDov2	外交政策	外[がい] 交[こう] 政[せい] 策[さく]	foreign policy		0066 0067
iBv&~a^an{	回収	回[かい] 収[しゅう]	collection		0070
B,W+*s7QSx	解消	解[かい] 消[しょう]	dissolution, getting rid of		0054
gyr1Lk9|CJ	外相	外[がい] 相[しょう]	foreign minister		0066 0067
E.[Qq9mH.(	海水浴場	海[かい] 水[すい] 浴[よく] 場[じょう]	bathing area, beach		0172
mk.ya.MPmk	回数券	回[かい] 数[すう] 券[けん]	book of tickets		0030 0031
j@]VH>cwj{	快晴	快[かい] 晴[せい]	clear and sunny		0034
Ju;F;2I_WV	改正	改[かい] 正[せい]	revision		0066 0119
DZv^}8vO=N	改正案	改[かい] 正[せい] 案[あん]	proposed amendment		0067
bKq0lV8k0@	解説	解[かい] 説[せつ]	commentary		0026
w~sMr*}h7Y	改善	改[かい] 善[ぜん]	improvement		0042 0119
QZ~0|x^>5z	改造	改[かい] 造[ぞう]	remodelling		0119
JIZZv[Axi$	会談	会[かい] 談[だん]	conference, talk		0066
FpF`1K~,1^	改築	改[かい] 築[ちく]	rebuilding		0119
AIoMs}B<GU	改訂版	改[かい] 訂[てい] 版[ばん]	revised edition		0173
q^27=B]7l-	開発	開[かい] 発[はつ]	development		0074
`:nMl<c8:	回復	回[かい] 復[ふく]	recovery		0062 0113
F2=S|~+7:M	外務省	外[がい] 務[む] 省[しょう]	Ministry of Foreign Affairs		0067
KY`0axoK/C	外務大臣	外[がい] 務[む] 大[だい] 臣[じん]	foreign minister		0067
GS,>~t!T`8	改良	改[かい] 良[りょう]	improvement		0074 0119
or0<|sY1zR	帰す	帰[かえ]す	to send home		0014
Dc.nFcE(pT	かえって	かえって	instead, on the contrary		0019 0136
HgkGu?=1D+	顔が広い	顔[かお]が 広[ひろ]い	to know a lot of people		0148
Mr3xtI3e5a	顔つき	顔[かお]つき	looks, facial expression		0161
kFo|X/=A$4	香り	香[かお]り	fragrance		0014
RgI,`wO}lR	顔を貸す	顔[かお]を 貸[か]す	to join, to come along		0148
"m6(#D-+je@"	顔を出す	顔[かお]を 出[だ]す	to make an appearance		0148
"r%Pe=g0#:f"	価格	価[か] 格[かく]	price		0062
I1buF@A`qv	化学	化[か] 学[がく]	chemistry		0038
iqZS8`K_q9	科学	科[か] 学[がく]	science		0074
Kt)bFK/-B$	科学者	科[か] 学[がく] 者[しゃ]	scientist		0074 0075 0172
ok5*r3*D`|	科学的	科[か] 学[がく] 的[てき]	scientific		0075
NpBP|qkwQ3	かかる	かかる	to get, to catch		0022
I!0<7w$Ugp	書き上がる	書[か]き 上[あ]がる	to finish writing		0160
x.djnVTZ/Z	書き直す	書[か]き 直[なお]す	to rewrite		0160
wyQK2)2A;{	かく	かく	to (sweat, snore, etc.)		0034
dFr&%BH[w[	各～	各[かく]～	each ～		0166
bmF0jJDNM/	かぐ	かぐ	to smell		0014
bI@.G9u(tU	家具	家[か] 具[ぐ]	furniture		0018
"ccGHZ#((M6"	～学	～ 学[がく]	branch of study, -ology		0039
M.{O(]tkIx	隠す	隠[かく]す	to hide		0010
J,.*Xp)Viz	学生証	学[がく] 生[せい] 証[しょう]	student ID card		0173
HfW_BTgoJr	拡大	拡[かく] 大[だい]	enlargement, magnification	反.  縮[しゅく] 小[しょう]<br>shrink	0050
"w:7#0kbc):"	各分野	各[かく] 分[ぶん] 野[や]	each field [area]		0166
c)mY-N]`x/	確保	確[かく] 保[ほ]	securement		0058
t,b=B-O_lp	各方面	各[かく] 方[ほう] 面[めん]	various quarters [sides]		0166
Mbuah%>R9?	革命	革[かく] 命[めい]	revolution		0066
g-)6q&+BPf	学力	学[がく] 力[りょく]	scholastic ability		0038
F@Mm])g%dv	影	影[かげ]	reflection, shadow		0101
k+zQ}j^nF.	陰	陰[かげ]	behind		0101
K8PG2@fU!x	がけ崩れ	がけ 崩[くず]れ	landslide		0059
