#separator:tab
#html:true
#guid column:1
#tags column:7
N-]=^bVZrC	ぼうえき	trade	貿易		[sound:36893068_161130_2247_35.mp3]	
EDB$W40!n(	ちっとも	not at all (used with a negative verb)			[sound:36955665_161201_1539_43.mp3]	
]9I3@-,rC	すっかり	completely			[sound:36955666_161201_1540_02.mp3]	
P&O6^*.$!y	すっと	straight, all of a sudden			[sound:36955667_161201_1540_53.mp3]	
z[Ps%;x0Nr	はず	it should be so			[sound:36955668_161201_1541_16.mp3]	
"o_I+|#!f7Z"	いがく	medical science	医学		[sound:36893126_161202_1702_12.mp3]	
FMa84tzNJ$	ちゅうしゃ	injection	注射		[sound:330522000120309041826.mp3]	
ynf0KF<n[{	ガス	gas			[sound:36893128_161202_1702_31.mp3]	
H]3FX.!~i{	かたち	shape	形		[sound:36893129_161202_1702_54.mp3]	
wTf148if&Z	おと	sound, note	音		[sound:36954564_161202_1703_15.mp3]	
qfboAuVqlg	ぎじゅつ	art, technology, skill	技術		[sound:36893130_161202_1703_35.mp3]	
v<E*%`?J)e	げんいん	cause, source	原因		[sound:36893131_161202_1704_14.mp3]	
g62y*U1>v1	けんきゅう	research	研究		[sound:36893132_161202_1704_37.mp3]	
"m#GeE>]y)U"	せつめい	explanation	説明		[sound:36893133_161202_1705_03.mp3]	
M;i%&AxVgo	しらべる	to investigate	調べる		[sound:36954499_161202_1705_20.mp3]	
orj&,(]s`X	ぐあい	condition, health	具合		[sound:36954515_161202_1705_39.mp3]	
fFa,{ah%Q^	おみまい	calling on someone who is ill, enquiry	お見舞い		[sound:36954516_161202_1705_59.mp3]	
nB*,PyzGWR	ねつ	fever	熱		[sound:36954682_161202_1706_20.mp3]	
x3d*a$<kc:	かいぎ	meeting	会議		[sound:36954517_161202_1706_46.mp3]	
P//D-J)_qs	かいわ	conversation	会話		[sound:36954518_161202_1707_08.mp3]	
EkTX*Vhx%&	かんけい	relationship	関係		[sound:36954519_161202_1707_27.mp3]	
HOk?0&ikJY	き	spirit,mood	気		[sound:36954520_161202_1708_10.mp3]	
bsXbF(y?x6	きかい	opportunity	機会		[sound:36954521_161202_1708_29.mp3]	
lT%[u{+$0y	たとえば	for example	例えば		[sound:36954661_161202_1708_45.mp3]	
b@q`s,]4}v	かわいい	cute, pretty	可愛い		[sound:36927534_161202_1712_08.mp3]	
Gv*&G~DTVW	きびしい	strict	厳しい		[sound:36926845_161202_1712_23.mp3]	
bcomLM!(&j	きいろい	yellow	黄色い		[sound:32111215045327_220422_608d1.mp3]	
ji~|d^h7u<	きたない	dirty	汚い		[sound:330522000120311202653.mp3][sound:32111215045450_220428_1ccf3.mp3]	
rvNNMQ|E:$	くらい	dark	暗い		[sound:32111215045836_220458_e1898.mp3]	
qQmrgan{ie	くろい	black	黒い		[sound:32111215050428_291712_e9712.mp3][sound:32111215045700_220464_b07ae.mp3]	
l|<Lc<5;[d	こまかい	small, fine	細かい		[sound:36927539_161202_1712_57.mp3]	
H>Cg:U+(Y3	こわい	frightening	怖い		[sound:36926847_161202_1713_15.mp3]	
x-sSW{`~vA	さびしい	lonely	寂しい		[sound:36926848_161202_1713_33.mp3]	
"mp#EYtS4~~"	さむい	cold (not つめたい)	寒い		[sound:36927540_161202_1713_54.mp3]	
pt4&>+Qss%	しろい	white	白い		[sound:89357000111123010225.mp3][sound:32111215050428_220548_77edf.mp3]	
M1O)T2JH3j	すずしい	cool	涼しい		[sound:36927542_161202_1714_11.mp3]	
xWczvs;I`O	すごい	terrific	凄い		[sound:36926849_161202_1714_27.mp3]	
"d,ylz&S(#C"	すばらしい	wonderful	素晴らしい		[sound:36927543_161202_1714_43.mp3]	
w@QWWA9yZZ	せまい	narrow	狭い		[sound:32111215043349_220571_eeaad.mp3]	
xeCB-r;[4^	ただしい	right; correct	正しい		[sound:36926850_161202_1715_10.mp3]	
r;in,Jj],A	たかい	high, expensive	高い		[sound:36927545_161202_1715_32.mp3]	
nROLPLifr`	たのしい	pleasant, enjoyable	楽しい		[sound:36927546_161202_1715_49.mp3]	
O3o;(XiVq.	ちいさい	small	小さい		[sound:32111215045326_220620_c8e71.mp3][sound:156008000120125081914.mp3]	
j|>BM8{KlP	ちかい	near, close	近い		[sound:36927548_161202_1716_08.mp3]	
yM2D{A|;KZ	こめ	uncooked rice	米		[sound:36932508_161203_0552_44.mp3]	
AO)w0WXbdK	じてん	dictionary	辞典		[sound:36932509_161203_0553_00.mp3]	
hk$I7&2u8M	しなもの	goods	品物		[sound:36932510_161203_0553_20.mp3]	
i}2^r+kLFZ	しょうせつ	novel	小説		[sound:36932511_161203_0553_39.mp3]	
O7QSOD~Ks(	しょくりょうひん	groceries	食料品		[sound:36932512_161203_0553_59.mp3]	
e?*/!%KA6,	すな	sand	砂		[sound:36932513_161203_0554_17.mp3]	
qT%sy,++bG	せき	seat	席		[sound:36932514_161203_0554_40.mp3]	
nSo<)>~)7O	たたみ	Japanese straw mat	畳		[sound:36932515_161203_0555_04.mp3]	
ky8Hazdfet	たな	shelves	棚		[sound:36932516_161203_0555_21.mp3]	
"g#OZXS&4T}"	にっき	journal	日記		[sound:36932517_161203_0555_42.mp3]	
DVv[}01NER	にんぎょう	doll, figure	人形		[sound:36932518_161203_0556_01.mp3]	
qI:).~m12,	は	leaf	葉		[sound:36932519_161203_0556_16.mp3]	
B^;Cykk|ps	ふとん	Japanese bedding, futon	布団		[sound:36932520_161203_0556_33.mp3]	
n5b[ee:NV:	まんが	comic	漫画		[sound:36932521_161203_0556_53.mp3]	
B?%>%AunBr	もめん	cotton	木綿		[sound:36932522_161203_0557_10.mp3]	
GR_-y^16LI	しゅっぱつ	departure	出発		[sound:37897259_161203_0557_27.mp3]	
MqVT!$f*p	うわぎ	coat, jacket	上着		[sound:37897260_161203_0557_44.mp3]	
F^mBwQRxpH	しょうち	consent	承知		[sound:37897261_161203_0558_04.mp3]	
dz[N}m^klu	ほうそう	a broadcast, to broadcast	放送		[sound:37897262_161203_0558_28.mp3]	
J%8o/J8uK0	しょうたい	invitation	招待		[sound:37897264_161203_0558_46.mp3]	
j%J+HR{YMD	なくなる	to disappear, to get lost	無くなる		[sound:36953097_161203_1917_45.mp3]	
dXy!0P,&gW	ぬすむ	to steal	盗む		[sound:36953098_161203_1917_58.mp3]	
f^wp;w)e;6	はらう	to pay	払う		[sound:36953099_161203_1918_14.mp3]	
i%88,G,0q2	ふとる	to become fat	太る		[sound:36953100_161203_1918_29.mp3]	
npJWyypB30	やせる	to become thin	痩せる		[sound:36953101_161203_1918_49.mp3]	
L`pT(dLBp*	われる	to break (intransitive) (not こわす)	割れる		[sound:36953102_161203_1919_07.mp3]	
c^JrU9_fQy	みつける	to discover	見付ける		[sound:36953103_161203_1919_26.mp3]	
EM?P7|C+mq	みつかる	to be discovered	見つかる		[sound:36953104_161203_1919_51.mp3]	
EkXosas)~;	あつめる	to collect something, to bring together	集める		[sound:36953106_161203_1920_07.mp3]	
KM[>Az4wQn	あつまる	to be gathered, come together	集まる		[sound:36953105_161203_1920_21.mp3]	
zE69sI~+pF	あげる	to give to someone else			[sound:36953107_161203_1920_51.mp3]	
Ck1XY=x5x(	くれる	to give to me			[sound:36953108_161203_1921_18.mp3]	
tO-.P4rJhd	くれる	to get dark, to come to an end	暮れる		[sound:36953109_161203_1921_39.mp3]	
fi!mVtE{|>	さわる	to touch	触る		[sound:36953110_161203_1921_54.mp3]	
ihB@i-k*o?	たずねる	to visit (not よる)	訪ねる		[sound:36953111_161203_1922_39.mp3]	
KN:hmM]}l$	しあい	match, game	試合		[sound:36929330_161205_1629_42.mp3]	
r1`j@fh!U;	しま	island	島		[sound:36929331_161205_1630_24.mp3]	
MRX^`dzHzY	じむしょ	office	事務所		[sound:36929332_161205_1630_53.mp3]	
"kL$0#}S7w2"	じんじゃ	Shinto shrine	神社		[sound:36929333_161205_1631_13.mp3]	
JZ;oBY!8m/	しんぶんしゃ	newspaper company	新聞社		[sound:36929334_161205_1631_31.mp3]	
yJxr~3y?z@	せかい	the world	世界		[sound:36929335_161205_1632_05.mp3]	
o?$`4Yr(@9	ちゅうがっこう	junior high school, middle school	中学校		[sound:36929336_161205_1632_20.mp3]	
"HG#=V1,b-B"	ちゅうしゃじょう	parking lot	駐車場		[sound:36929337_161205_1632_36.mp3]	
L3h))?Z,pR	てら	temple	寺		[sound:36929338_161205_1633_07.mp3]	
x]%^9f7/;V	と	metropolitan	都		[sound:36929339_161205_1633_39.mp3]	
-tV:|@,5A	どうぶつえん	zoo	動物園		[sound:36929340_161205_1634_48.mp3]	
PJS*v6F91=	とこや	barber	床屋		[sound:36929341_161205_1634_11.mp3]	
tfQT;YdgWz	にかいだて	two storied	二階建て		[sound:36929342_161205_1635_05.mp3]	
bM9bJLSFRE	ばしょ	location	場所		[sound:330522000120311211217.mp3]	
m:j}`:Bc$g	はやし	woods, forest (smaller than もり)	林		[sound:36929344_161205_1635_34.mp3]	
vu?bwfOw9?	うん	(informal) yes			[sound:36956290_161207_0324_40.mp3]	
owM1IWEZNA	あんな	such			[sound:36956291_161207_0324_53.mp3]	
bZ1Bg441Hm	そう	really			[sound:36956292_161207_0325_25.mp3]	
wD1z%~N0-Y	そんな	that sort of			[sound:36956293_161207_0325_43.mp3]	
Qlr|C0(OUo	こう	this way			[sound:36956294_161207_0326_04.mp3]	
K-VfrINi;R	そろそろ	gradually,soon			[sound:36956295_161207_0326_20.mp3]	
vI6>K(^/F2	だいじ	important, valuable, serious matter (not たいせつ)	大事		[sound:36956296_161207_0326_38.mp3]	
HQLE(h=R}-	だいぶ	greatly	大分		[sound:36956297_161207_0327_01.mp3]	
wEv9@CR0%6	どんどん	more and more			[sound:36956298_161207_0327_23.mp3]	
vCvwg4vy)G	なるべく	as much as possible	成るべく		[sound:36956299_161207_0328_45.mp3]	
koXw)cdg3^	なるほど	now I understand			[sound:36956300_161207_0327_48.mp3]	
flf&v<>%Ni	だから	so, therefore			[sound:36956301_161207_0328_49.mp3]	
"IYTfW#8(]o"	たしか	definite	確か		[sound:36956302_161207_0329_08.mp3]	
Ppk1U3G+Hx	ため	in order to	為		[sound:36956303_161207_0329_31.mp3]	
n.J)|a]63u	いか	less than	以下		[sound:36956304_161207_0329_51.mp3]	
F2bC*?uemn	わけ	meaning, reason	訳		[sound:36956305_161207_0330_27.mp3]	
xW>9m^%dh2	きょういく	education	教育		[sound:36892898_161207_0335_18.mp3]	
uxj.>`BM}I	こうぎ	lecture	講義		[sound:36893033_161207_0335_33.mp3]	
fb8/}Ko&|j	よしゅう	preparation for a lesson	予習		[sound:36892899_161207_0335_48.mp3]	
sCR{Z:VjB0	ふくしゅう	revision	復習		[sound:36893032_161207_0336_14.mp3]	
F&/F7]BnV[	かがく	science	科学		[sound:36892900_161207_0336_36.mp3]	
He*NK$uIi+	すうがく	mathematics, arithmetic	数学		[sound:36892901_161207_0336_54.mp3]	
P%=rs)}Y!x	ちり	geography	地理		[sound:36892902_161207_0337_14.mp3]	
C,C@p1l/cK	れきし	history	歴史		[sound:36892903_161207_0337_43.mp3]	
hTT/wvb$|1	ぶんがく	literature	文学		[sound:36892904_161207_0338_05.mp3]	
u|Ei|qP}KA	ぶんぽう	grammar	文法		[sound:89357000111121215953.mp3]	
MD2FXEBK)x	じ	character	字		[sound:36892906_161207_0338_30.mp3]	
pyK:QM;rCU	ぶんか	culture	文化		[sound:36892907_161207_0338_48.mp3]	
"P4jQqWuC#w"	しけん	examination	試験		[sound:36892908_161207_0339_05.mp3]	
QwU*oE5FX	そつぎょう	graduation	卒業		[sound:36892909_161207_0339_20.mp3]	
CH;_UzFkR=	きょうそう	competition	競争		[sound:36954609_161207_0339_37.mp3]	
CBF?rBL|$q	きょうみ	an interest	興味		[sound:36954610_161207_0339_59.mp3]	
G@+00{-P0%	けんぶつ	sightseeing	見物		[sound:36954611_161207_0340_20.mp3]	
Dx!>/`)?;t	けしき	scene, landscape	景色		[sound:36954612_161207_0340_43.mp3]	
bg?xl]q:U$	しゅうかん	custom, manners	習慣		[sound:36954613_161207_0341_03.mp3]	
"tHJQ2.w#aL"	しゅみ	hobby	趣味		[sound:330522000120310210109.mp3]	
v%7)X[gC[_	じゅうどう	judo	柔道		[sound:36954615_161207_0341_40.mp3]	
nILJ/cE;,1	ほんやく	translation	翻訳		[sound:36954616_161207_0342_00.mp3]	
D?xTT/,.xd	すき	like, love	好き		[sound:36927204_161211_0246_30.mp3]	
"CX_#qRyQXC"	たいせつ	important, great, precious (not だいじ)	大切		[sound:36927205_161211_0246_59.mp3]	
c}]-rj|rv`	けっこう	wonderful, enviable	結構		[sound:36927206_161211_0247_14.mp3]	
In[Q^A4^3I	おおぜい	lots of people, crowded	大勢		[sound:36927207_161211_0247_31.mp3]	
d[dcbSsg(t	ゆうめい	famous	有名		[sound:32111215050425_220890_3a2cd.mp3]	
k=Yt@H2/xj	きれい	pretty, beautiful	綺麗		[sound:36927209_161211_0247_59.mp3]	
emY&@8x7|4	かんたん	easy	簡単		[sound:36927210_161211_0248_13.mp3]	
F?q1fNJK?8	ていねい	polite	丁寧		[sound:36926875_161211_0248_28.mp3]	
MBIkE$r2L2	しずか	quiet	静か		[sound:32111215050424_220523_5f88c.mp3]	
p2>6&%S)aT	きらい	dislike, not like	嫌い		[sound:36927212_161211_0248_42.mp3]	
quc(/QBRu9	ひま	free (time)	暇		[sound:36927213_161211_0248_57.mp3]	
e<,e*Kzo%x	にぎやか	lively	賑やか		[sound:36927214_161211_0249_11.mp3]	
t[oQAO&|&*	べんり	useful, convenient	便利		[sound:36927215_161211_0249_28.mp3]	
K+CQN3Lj:,	げんき	healthy	元気		[sound:36927216_161211_0249_43.mp3]	
OI3/@6|U<G	いろいろ	various	色々		[sound:32111215050425_220305_260e4.mp3]	
dvtPT!p;SJ	だいじょうぶ	OK, fine	大丈夫		[sound:36927218_161211_0250_03.mp3]	
og3L.S?]oB	じょうぶ	healthy, robust	丈夫		[sound:36927219_161211_0250_18.mp3]	
g;mRH2SIa&	たいへん	terrible	大変		[sound:36927220_161211_0250_34.mp3]	
P&}3>ys.we	らく	comfortable, easy	楽		[sound:36927221_161211_0250_53.mp3]	
lG.R1J7AmE	いや	unpleasant	嫌		[sound:36927222_161211_0251_08.mp3]	
"x##=DPI]HP"	ゆびわ	a ring	指輪		[sound:36932535_161211_0237_55.mp3]	
"n}TmJZ#R^h"	おつり	change from purchase, balance			[sound:36932536_161211_0238_55.mp3]	
bq&ns=1&,D	れいぼう	air conditioning	冷房		[sound:36932537_161211_0239_13.mp3]	
BooLbrdBxi	だんぼう	heating	暖房		[sound:36932538_161211_0239_31.mp3]	
EuM}a7Qzq~	でんとう	electric light	電灯		[sound:36932539_161211_0239_46.mp3]	
swe+R,O[}C	でんぽう	telegram	電報		[sound:36932540_161211_0240_09.mp3]	
NuL=Ych51Y	ぶどう	grapes	葡萄		[sound:89357000111119222949.mp3]	
d%CguV`sM0	みそ	miso, soybean paste	味噌		[sound:36932542_161211_0240_30.mp3]	
L}z&IY7XPX	ゆ	hot water	湯		[sound:36932543_161211_0240_48.mp3]	
Qd^W<~56P_	きもの	kimono	着物		[sound:36932544_161211_0241_05.mp3]	
G_A>J,e,h&	したぎ	underwear	下着		[sound:36932545_161211_0241_21.mp3]	
B<]ydpSHkO	てぶくろ	glove	手袋		[sound:36932546_161211_0241_36.mp3]	
ux+25waEMv	かぜ	a cold	風邪		[sound:37897283_161211_0241_53.mp3]	
jP]FJ`hsM}	けいけん	experience	経験		[sound:37897284_161211_0242_09.mp3]	
Q~s@=]7pa<	ひっこす	to move house	引っ越す		[sound:36922485_161211_0251_43.mp3]	
JDAke-0/tX	わく	to boil, to grow hot, to get excited	沸く		[sound:36922486_161211_0251_58.mp3]	
"In:x;z#,?j"	わかす	to boil, to heat	沸かす		[sound:36922487_161211_0252_13.mp3]	
fI318A4.:8	やく	to bake, to grill	焼く		[sound:36922488_161211_0253_20.mp3]	
pz8e4uf20P	やける	to burn, to be roasted (overcook)	焼ける		[sound:36926499_161211_0252_51.mp3]	
uK{T++4,}g	かむ	to bite, to chew	噛む		[sound:36922489_161211_0253_35.mp3]	
h?45,.Q)@r	つつむ	to wrap	包む		[sound:36922490_161211_0253_53.mp3]	
jI?{a{%!Ip	つる	to fish	釣る		[sound:36922491_161211_0254_09.mp3]	
Q&|,=&Inp?	かける	to hang something	掛ける		[sound:36922492_171207_2035_50.mp3]	
rSqp],`r,~	かざる	to decorate	飾る		[sound:330522000120308122745.mp3]	
okm7iI0?k3	かたづける	to tidy up	片付ける		[sound:36922494_161211_0254_41.mp3]	
J(2a;Vj2Kn	いのる	to pray	祈る		[sound:36922495_161211_0254_56.mp3]	
oQUfe6L*1	おこす	to wake	起す		[sound:36922496_161211_0255_10.mp3]	
ctUDJy1&Cn	おどる	to dance	踊る		[sound:36922497_161211_0255_25.mp3]	
v2F7F]MY6S	かわく	to get dry	乾く		[sound:36922498_161211_0255_40.mp3]	
FI1;oV.Lt2	つける	to soak, to pickle	漬ける		[sound:36922499_161211_0255_59.mp3]	
"A,XR#})g^q"	ぬる	to paint, to colour, to plaster	塗る		[sound:36922500_161211_0256_16.mp3]	
Ine/E:?Nxw	ぬれる	to get wet	濡れる		[sound:36922501_161211_0256_29.mp3]	
Q}u@{7USjH	ねむる	to sleep (not always lying down) (寝る)	眠る		[sound:36922502_161211_0256_44.mp3]	
"duhyzu_vG#"	なおす	to fix, to repair	直す		[sound:36922503_161211_0257_01.mp3]	
P0SySL=Xq,	よごれる	to get dirty	汚れる		[sound:36922504_161211_0257_40.mp3]	
cy`txyQ%5g	うえる	to plant, to grow	植える		[sound:36923315_161211_0258_01.mp3]	
rNpdmCCIfI	そだてる	to rear, to bring up	育てる		[sound:36923957_161211_0258_16.mp3]	
gGF*ee<8JA	このあいだ	the other day, recently			[sound:36928545_161212_0030_25.mp3]	
Ws2qV+Kt1	このごろ	these days, nowadays			[sound:36928546_161212_0030_43.mp3]	
DS)hyW*p7{	これから	after this			[sound:36928547_161212_0030_57.mp3]	
jUP/kB.]+m	こんど	next time	今度		[sound:36928548_161212_0031_11.mp3]	
n[JS9I&2Uq	こんや	tonight	今夜		[sound:36928549_161212_0031_30.mp3]	
wv@f.0N?oX	さいきん	latest, recently	最近		[sound:36928550_161212_0031_48.mp3]	
Pm<l8-d.%P	さいご	last, end	最後		[sound:36928551_161212_0032_04.mp3]	
tx5vp.Gq+_	さいしょ	beginning, first	最初		[sound:36928552_161212_0032_20.mp3]	
ih0uKHgbOa	さっき	some time ago			[sound:36928553_161212_0032_47.mp3]	
DEawN_Mt6T	さらいげつ	the month after next	さ来月		[sound:36928554_161212_0033_07.mp3]	
G.!4Oc8/+<	さらいしゅう	the week after next	さ来週		[sound:36928555_161212_0033_25.mp3]	
