#separator:tab
#html:true
#guid column:1
#tags column:8
kcxnJQ`uQu	kanji	ja_on	ja_kun	meaning	examples		
PR)}AW%r&*	商	ショウ	あきな・う	trade in; make a deal; merchant	商人 (しょうにん) trader; merchant<br>商品 (しょうひん) good; merchandise<br>商売 (しょうばい) trade; commerce<br>商店街 (しょうてんがい) shopping area; shopping arcade<br>新商品 (しんしょうひん) new product		
nZKus2B6.{	園	エン	その	garden; park; yard	動物園 (どうぶつえん) zoo<br>公園 (こうえん) park		
CLE%e)QvH7	変	ヘン	か・える、か・わる	change; strange; unusual	変化 (へんか) change; transformation<br>変更 (へんこう) change; alteration<br>変える (かえる) to change; to alter<br>変わる (かわる) to change<br>大変 (たいへん) very; terribly | difficult; hard		
h{pihD($dh	夫	フ、フウ	おっと	husband; man	夫人 (ふじん) (hon) wife; Mrs<br>夫婦 (ふうふ) married couple; husband and wife<br>工夫 (くふう) scheme; device<br>丈夫 (じょうぶ) healthy; robust; solid; durable<br>大丈夫 (だいじょうぶ) safe; all right; alright; OK		
K~R;9%-`bR	失	シツ	うしな・う	be defeated; lose; overlook; error; fault	失望 (しつぼう) disappointment; despair<br>失業 (しつぎょう) losing one's job; becoming unemployed<br>失敗 (しっぱい) failure<br>失礼 (しつれい) impolite; rude | excuse me; I'm leaving		
mLmlEx2zfm	守	シュ、ス	まも・る	protect; defend	守る (まもる) to protect; to guard; to uphold; to follow<br>留守 (るす) absence; being away from home		
BR.YZvj;4C	完	カン		completion; end; perfect	完了 (かんりょう) completion<br>完全 (かんぜん) completeness<br>完成 (かんせい) completion; accomplishment		
C<<<gSK,%1	官	カン		bureaucrat; government; organ (body)	警官 (けいかん) police officer		
l^5,&X9ofs	定	ジョウ、テイ	さだ・か、さだ・まる、さだ・める	decide; determine; establish; fix	勘定 (かんじょう) calculation; computation; consideration<br>否定 (ひてい) denial; repudiation<br>安定 (あんてい) stability; steadiness<br>定期 (ていき) fixed period; fixed term<br>決定 (けってい) decision<br>予定 (よてい) plans; schedule | expectation; estimate		
"y#FJ~hfzN{"	実	ジツ	み、みの・る	reality; truth	事実 (じじつ) fact; reality<br>実に (じつに) indeed; really; truly<br>実は (じつは) as a matter of fact; frankly<br>実施 (じっし) enforcement; implementation<br>実現 (じつげん) implementation (e.g. of a system)		
E(TNhcw1fV	客	カク、キャク		client; customer; guest; visitor	乗客 (じょうきゃく) passenger<br>観光客 (かんこうきゃく) tourist<br>観客 (かんきゃく) spectator<br>客 (きゃく) customer; visitor		
yxB/e8ccN>	宿	シュク	やど、やど・す、やど・る	to stay; lodge; inn; dwelling	宿泊 (しゅくはく) lodging<br>下宿 (げしゅく) lodging; boarding house<br>宿題 (しゅくだい) homework; assignment		
"E+{y-}`0@#"	察	サツ		clearly understand; know well; judge; classify	観察 (かんさつ) observation<br>診察 (しんさつ) medical examination<br>警察 (けいさつ) police; ploliceman		
MChSVi4BE~	対	タイ、ツイ		anti-; oppose; face; answer; respond	対する (たいする) to face (each other); to confront; to oppose<br>対象 (たいしょう) target; object; scope<br>絶対 (ぜったい) absolutely; unconditionally<br>反対 (はんたい) reverse; opposite | to object to; to oppose		
dY0*OK-63:	局	キョク		punctuation; division; bureau; department; board (of a game, ex. shoji)	テレビ局 (テレビきょく) television station<br>結局 (けっきょく) after all; ultimately<br>薬局 (やっきょく) pharmacy<br>郵便局 (ゆうびんきょく) post office<br>局 (きょく) bureau; department		
y?Sgi39Oi,	差	サ	さ・す	difference; discrepancy; distinction; variation; to dispatch; to recover	差別 (さべつ) discrimination; differentiation<br>差し上げる (さしあげる) (hum) to give; to offer | to raise<br>交差点 (こうさてん) crossing; intersection<br>差す (さす) to hold up (an umbrella, etc.); to put up; to raise<br>差 (さ) difference; variation		
ge)0kTpUR9	席	セキ		seat; place; mat	出席率 (しゅっせきりつ) attendance rate<br>座席 (ざせき) seat<br>欠席 (けっせき) absence; non-attendance<br>出席 (しゅっせき) attendance; appearance<br>席（せき） (せき) seat		
M(3n)&Kr~i	式	シキ		form; rule; to conform; ceremony; rite	成人式 (せいじんしき) coming-of-age ceremony<br>正式 (せいしき) official; formality<br>～式 (～しき) a ceremony<br>式 (しき) equation; formula		
l%Rl(T~CCU	当	トウ	あ・たる、あ・てる	fit; shoulder; bear; appropriate	当たる (あたる) to be hit; to strike; to be selected; to win<br>当てる (あてる) to hit; to put on; to expose<br>当時 (とうじ) at that time; in those days<br>当然 (とうぜん) natural; of course<br>担当 (たんとう) being in charge; being responsible for<br>担当者 (たんとうしゃ) person in charge; person responsible<br>相当 (そうとう) considerably; rather; quite<br>見当 (けんとう) estimate; guess<br>適当 (てきとう) suitable; appropriate<br>弁当 (べんとう) bento; Japanese box lunch<br>本当 (ほんとう) truth; reality; actuality		
hka&[D33HY	形	ギョウ、ケイ	かた、かたち	form; shape; style	人形 (にんぎょう) doll; puppet; figure<br>形 (かたち) form; shape		
d+Yl3Ed=zS	役	エキ、ヤク		role; work; service	役割 (やくわり) part; role<br>役立つ (やくだつ) to be useful<br>役に立つ (やくにたつ) to be useful<br>役 (やく) use; service; role		
vGb|FDowKX	必	ヒツ	かなら・ず	certain; inevitable; invariably	必ずしも (かならずしも) not always; not necessarily<br>必死 (ひっし) frantic; desperate<br>必ず (かならず) certainly; without fail<br>必要 (ひつよう) necessary		
G7-kP*of>r	念	ネン		bear in mind; attention; sense; thought	信念 (しんねん) belief; faith<br>記念 (きねん) commemoration; memory<br>残念 (ざんねん) bad luck; regret		
uT32@Yc2Vg	息	ソク	いき	breath; respiration; interest (on money); son	息が切れる (いきがきれる) to be out of breath<br>息が止まる (いきがとまる) to stop breathing<br>息 (いき) breath<br>息子 (むすこ) son		
b|2~~a`FNk	想	ソ、ソウ		concept; idea; think; thought	思想 (しそう) idea; ideology<br>想像 (そうぞう) imagination; guess<br>理想 (りそう) ideal<br>連想 (れんそう) association (of ideas)		
"w;:*H@#NJ*"	感	カン		emotion; feeling; sensation	感動 (かんどう) being deeply moved emotionally<br>感心 (かんしん) admiration; being impressed<br>感情 (かんじょう) emotion; feelings<br>感覚 (かんかく) sensation; feeling<br>感謝 (かんしゃ) thanks; gratitude		
zE*g~A:@vM	成	ジョウ、セイ	な・す、な・る	become; turn into; grow reach; elapse	完成 (かんせい) completion; accomplishment<br>成人 (せいじん) adult<br>成人式 (せいじんしき) coming-of-age ceremony<br>成功 (せいこう) success<br>成績 (せいせき) results; grades<br>成長 (せいちょう) growth		
xmJN@)5qYa	戦	セン	いくさ、たたか・う	battle; match; war	大戦 (たいせん) great war; World War<br>戦い (たたかい) battle; conflict<br>戦争 (せんそう) war<br>戦う (たたかう) to wage war; to fight		
"GSn*N8(#17"	投	トウ	な・げる	throw; hurl; abandon; give up	投票 (とうひょう) voting<br>投げる (なげる) to throw		
e;AX:df38n	折	セツ	おり、お・る、お・れる	bend; break; fold; submit; yield	骨折 (こっせつ) broken bone<br>折る (おる) to break; to fold<br>折れる (おれる) to be broken; to be folded		
q<7S89znKz	指	シ	さ・す、ゆび	finger; indicate; point to	指導 (しどう) guidance; instruction<br>指導員 (しどういん) instructor<br>目指す (めざす) to aim for; to shoot for<br>指輪 (ゆびわ) ring (jewlery)<br>指す (さす) to point; to specify; to select		
"K#}OI(+3F/"	敗	ハイ	やぶ・れる	defeat; failure; reversal	失敗 (しっぱい) failure		
l$>.uobU_{	数	ス、スウ	かず、かぞ・える	number; figures; to count; fate; plan	人数 (にんずう) number of people<br>数える (かぞえる) to count<br>数字 (すうじ) (math) numeral; digit; number<br>数学 (すうがく) mathematics<br>数（かず） (かず) number; amount		
Kg)VP*]]lV	昔	シャク、セキ	むかし	antiquity; old times; once upon a time	昔 (むかし) a long time ago		
pmIXt`bG[}	昨	サク		previous; yesterday	昨年 (さくねん) last year<br>昨晩 (さくばん) last night<br>一昨年 (おととし) year before last<br>昨夜 (ゆうべ) last night<br>昨日 (きのう) yesterday		
j`.!G)^7RZ	晴	セイ	は・らす、は・れる	clear up	素晴らしい (すばらしい) wonderful; splendid<br>晴れ (はれ) clear weather; fine weather<br>晴れる (はれる) to clear up; to be sunny		
nHVXW+H}oq	曲	キョク	ま・がる、ま・げる	bend; lean; curve; fault; injustice; melody; composition	作曲 (さっきょく) composition (of music)<br>曲る (まがる) to turn; to bend		
h$fhuo~(>r	最	サイ	もっと・も	extreme; most	最低 (さいてい) least; lowest; worst<br>最終 (さいしゅう) last; final<br>最高 (さいこう) most; highest; best; finest<br>～最中 (～さいちゅう) in the middle of ～<br>最初 (さいしょ) beginning; first		
D/N.|r=fZ3	望	ボウ、モウ	のぞ・む	ambition; aspire to; desire; expect; hope	失望 (しつぼう) disappointment; despair<br>希望 (きぼう) request; hope; aspiration<br>希望者 (きぼうしゃ) applicant<br>望み (のぞみ) wish; desire<br>望む (のぞむ) to desire; to wish for		
dp_iK1WTjo	期	キ、ゴ		date; period; term	予期 (よき) expectation; assumption<br>学期 (がっき) school term; semester<br>定期 (ていき) fixed period; fixed term<br>延期 (えんき) postponement; deferment<br>時期 (じき) time; season		
lzeL,:_JkH	未	ミ		not yet; still; sign of the ram	未来 (みらい) the future		
jGnH!I,Bc^	末	バツ、マツ	すえ	close; end; posterity; tip	年末 (ねんまつ) end of the year<br>粗末 (そまつ) crude; rough; shabby<br>週末 (しゅうまつ) weekend<br>末（すえ） (すえ) tip; end<br>末（まつ） (まつ) the end of		
k?+E%!J_*T	束	ソク	たば	control; manage; ream; sheaf	約束 (やくそく) promise; agreement		
jaSAJljCRI	果	カ	は・たす、は・て、は・てる	fruit; finish; complete; achieve	効果 (こうか) effect; efficacy<br>効果的 (こうかてき) effective; successful<br>結果 (けっか) result; consequence; outcome<br>果物 (くだもの) fruit		
r+!^-]O{_I	様	ヨウ	さま	polite suffix; manner; situation; way	同様 (どうよう) identical; equal to<br>様々 (さまざま) various<br>様子 (ようす) state; situation; appearance<br>模様 (もよう) model; pattern; example<br>王様 (おうさま) king		
ou(j&k=~C8	横	オウ	よこ	horizontal; perverse; side; sideways; unreasonable; width; woof	横切る (よこぎる) to cross (e.g. road)<br>横断 (おうだん) crossing; traversing<br>横 (よこ) horizontal (as opposed to vertical); lying down		
Fq&rlmF)-;	機	キ	はた	machine; airplane; opportunity; occasion; efficacy	機嫌 (きげん) mood; spirits | be in a good mood<br>機械 (きかい) machine; apparatus<br>機能 (きのう) function; feature<br>機会 (きかい) chance; opportunity<br>飛行機 (ひこうき) airplane		
"n~J#$J6Vr^"	欠	ケツ	か・く、か・ける	lack; gap	欠ける (かける) to be chipped; to be broken | to be lacking; to be insufficient<br>欠席 (けっせき) absence; non-attendance<br>欠点 (けってん) defect; flaw; weak point<br>欠陥 (けっかん) defect; deficiency; shortage		
fjy;_]Tk@<	次	シ、ジ	つぎ、つ・ぐ	next; order; sequence	次々 (つぎつぎ) in succession; one by one<br>次回 (じかい) next time<br>～次第 (～しだい) depending on ～; as soon as ～<br>次 (つぎ) next; following		
s7iFYGnp|>	歯	シ	は	tooth	虫歯 (むしば) cavity; tooth decay<br>歯医者 (はいしゃ) dentist<br>歯 (は) tooth		
e}XZ@=jlC-	残	ザン	のこ・す、のこ・る	leftover; remainder	残業 (ざんぎょう) overtime (work)<br>残念 (ざんねん) bad luck; regret<br>残す (のこす) to leave (behind, over)<br>残り (のこり) remaining; left-over<br>残る (のこる) to remain		
u)XG$vM[tV	求	キュウ	もと・める	demand; request; want; wish for	求める (もとめる) to want; to request; to seek<br>要求 (ようきゅう) demand; request; requirement<br>請求 (せいきゅう) billing (for a service); claim		
LncF.UCp!T	決	ケツ	き・まる、き・める	agree upon; appoint; decide; fix	決定 (けってい) decision<br>決心 (けっしん) decision; resolution<br>解決 (かいけつ) solution; resolution<br>決して (けっして) never; by no means		
r:wt)&PBs^	治	ジ、チ	おさ・まる、おさ・める、なお・す、なお・る	subdue; suppress; calm down; cure; conserve	政治 (せいじ) politics; government<br>治る (なおる) to be cured; to get well		
q4MIlT,rYI	法	ハッ、ホウ、ホッ		law; rule; method; model; principle	作法 (さほう) manners; etiquette<br>憲法 (けんぽう) constitution<br>方法 (ほうほう) method; way; process<br>文法 (ぶんぽう) grammar<br>法律 (ほうりつ) law		
Dn4N+&lq*o	活	カツ		lively; living; be helped	活動 (かつどう) activity<br>活気 (かっき) energy; liveliness<br>活用 (かつよう) practical use; application<br>生活 (せいかつ) life (one's daily existence); livelihood		
P*Nw9D&*^a	流	リュウ、ル	なが・す、なが・れる	flow; current; unconfirmed	洗い流す (あらいながす) to rinse off<br>流れる (ながれる) to flow (liquid, time, etc.); to be washed away; to be broadcast; to circulate<br>流行 (りゅうこう) fashion; fad<br>流す (ながす) to drain; to pour; to wash away; to broadcast; to circulate<br>流れ (ながれ) current; flow | course of events		
N>PziLj(kG	消	ショウ	き・える、け・す	extinguish; cancel; neutralize; turn off	消費 (しょうひ) consumption; expenditure<br>消防 (しょうぼう) fire fighting<br>消しゴム (けしごむ) eraser<br>消える (きえる) to go out; to disappear<br>消す (けす) to erase; to delete | to turn off power		
"g<^/P#gF:O"	港	コウ	みなと	harbor	空港 (くうこう) airport<br>港 (みなと) harbor; port		
zL%1Yye$?S	満	マン	み・たす、み・ちる	satisfy; fullness	不満 (ふまん) dissatisfaction; discontent; displeasure<br>満ちる (みちる) to be full; to mature; to expire<br>満足 (まんぞく) satisfaction; contentment; sufficient<br>満開 (まんかい) full bloom		
NO-JRbW9*@	点	テン		point; period; decimal point; speck; spot	欠点 (けってん) defect; flaw; weak point<br>要点 (ようてん) gist; main point<br>交差点 (こうさてん) crossing; intersection<br>点 (てん) spot; mark | score; points | number of points		
ckD)6i4Iw+	熱	ネツ	あつ・い	fever; heat; mania; passion	熱中 (ねっちゅう) enthusiasm; mania<br>熱帯 (ねったい) tropics<br>熱心 (ねっしん) zeal; enthusiasm<br>熱い (あつい) hot (thing) | passionate (feelings, etc.); ardent<br>熱 (ねつ) heat; fever; passion		
r`lqMryw+@	球	キュウ	たま	ball; sphere	地球 (ちきゅう) the earth; the globe<br>地球上 (ちきゅうじょう) on the earth<br>球 (きゅう) sphere; (baseball) counter for balls		
vCKCf_,S)$	由	ユ、ユイ、ユウ	よし	reason	不自由 (ふじゆう) disability; impairment (physical, mental, etc.)<br>経由 (けいゆ) through; by way of; via<br>理由 (りゆう) reason; motive<br>自由 (じゆう) freedom		
r,fMp;>u2A	申	シン	もう・す	to say; to explain	申し訳 (もうしわけ) apology; excuse<br>申し込む (もうしこむ) to apply for<br>申し上げる (もうしあげる) (hum) to say; to tell<br>申す (もうす) (hum) to say; to be called		
d9/0:~=}@X	番	バン		number in a series	順番 (じゅんばん) order; sequential order<br>番組 (ばんぐみ) program (e.g. TV)<br>一番 (いちばん) first | best; most<br>番号 (ばんごう) number<br>～番 (～ばん) number (in a series)		
nM+k^s;l[s	登	ト、トウ	のぼ・る	ascend; climb up	登山 (とざん) mountain climbing<br>登る (のぼる) to ascend; to climb		
qrjLVQWe<N	直	ジキ、チョク	ただ・ちに、なお・す、なお・る	frankness; honesty; repair; fix	取り直す (とりなおす) to re-obtain<br>正直 (しょうじき) honesty; frankness<br>直ちに (ただちに) at once; immediately<br>直に (じきに) in person; firsthand<br>直接 (ちょくせつ) direct		
23l3&TYNh	相	ショウ、ソウ		each other; together; mutual; minister of state; phase	相当 (そうとう) considerably; rather; quite<br>相手 (あいて) compaion; partner; other party<br>相続 (そうぞく) succession; inheritance<br>首相 (しゅしょう) Prime Minister; Chancellor<br>相談 (そうだん) consultation; discussion		
"A{v%Lv]#9w"	石	コク、シャク、セキ	いし	stone	宝石 (ほうせき) gem; jewel<br>石油 (せきゆ) oil; petroleum<br>石炭 (せきたん) coal<br>石けん (せっけん) soap<br>石 (いし) stone; rock; gem		
sO3t3d`Sv;	礼	ライ、レイ		bow; salute; gratitude; ceremony	礼儀 (れいぎ) manners; etiquette<br>失礼 (しつれい) impolite; rude | excuse me; I'm leaving<br>お礼 (おれい) (pol) thanks; gratitude		
F34$$7hEdN	神	シン、ジン	かみ	god; soul	神様 (かみさま) god; deity<br>神経 (しんけい) nerve (medical)<br>精神 (せいしん) mind; soul; heart; spirit<br>神社 (じんじゃ) Shinto shrine		
z%0_h.rB]:	科	カ		department; section	教科書 (きょうかしょ) textbook; coursebook; schoolbook<br>科目 (かもく) (school) subject; curriculum<br>科学 (かがく) science		
MSoG_d.U92	種	シュ	たね	seed; species; class; variety	一種 (いっしゅ) species; kind<br>人種 (じんしゅ) race (of people)<br>種類 (しゅるい) type; kind; category<br>種 (たね) seed (e.g. of a plant)		
"l@1*z06`(#"	笑	ショウ	え・む、わら・う	laugh	微笑む (ほほえむ) to smile<br>笑顔 (えがお) smiling face; smile<br>笑い (わらい) laughter; smile<br>笑う (わらう) to laugh; to smile		
nnMltWU9~1	箱		はこ	bin; box; case	箱 (はこ) box; case; chest		
xv-)}X%w]l	米	ベイ、マイ	こめ	rice; metre; USA	米 (こめ) rice		
LgVGTaq8Br	約	ヤク		approximately; promise	契約 (けいやく) contract<br>婚約 (こんやく) engagement; betrothal<br>節約 (せつやく) economising; saving<br>予約 (よやく) reservation; appointment<br>約束 (やくそく) promise; agreement		
x%YXeAz+:A	組	ソ	くみ、く・む	assemble; cooperate; unite; braid	組合 (くみあい) association; union<br>組織 (そしき) organization; structure<br>番組 (ばんぐみ) program (e.g. TV)<br>組 (くみ) group; class (of students)<br>組む (くむ) to cross (legs or arms); to put together; to assemble		
"F}fG#n+fTK"	絵	エ、カイ		drawing; painting; picture	絵画 (かいが) painting<br>絵 (え) picture; drawing; painting		
pnS501N2_h	続	ゾク	つづ・く、つづ・ける	continue; sequel; series	相続 (そうぞく) succession; inheritance<br>続き (つづき) continuation; succession<br>連続 (れんぞく) occurring in succession; continuing<br>続く (つづく) to continue<br>続ける (つづける) to continue		
mM3jc=:OYx	美	ビ	うつく・しい	beautiful; beauty	美人 (びじん) beautiful woman<br>美容院 (びよういん) beauty salon<br>美しい (うつくしい) beautiful; lovely<br>美術館 (びじゅつかん) art museum<br>美味しい (おいしい) delicious; tasty		
N1yarT_ZWR	育	イク	そだ・つ、そだ・てる、はぐく・む	raise; rear; grow up	体育 (たいいく) physical education<br>子育て (こそだて) raising a child<br>育つ (そだつ) to be raised; to be brought up<br>教育 (きょういく) education; schooling; training<br>育てる (そだてる) to raise; to rear		
mO%@y:CBBl	船	セン	ふね	boat; ship	船 (ふね) ship; boat		
dTKSqMXEKo	苦	ク	くる・しい、くる・しむ、くる・しめる、にが・い、にが・る	hardship; suffering; bitterness	苦しい (くるしい) difficult; agonizing; painful<br>苦しむ (くるしむ) to suffer<br>苦労 (くろう) hardship; labour; toil<br>苦手 (にがて) poor (at); weak (in); dislike (of)<br>苦痛 (くつう) pain; agony		
e;RcKs]A}.	葉	ヨウ	は	leaf; plant; paper; time; period	葉書 (はがき) postcard<br>言葉 (ことば) word; phrase<br>葉 (は) leaf; blade (of grass)		
kghtcD,~Fj	表	ヒョウ	あらわ・す、あらわ・れる、おもて	chart; diagram; surface	代表 (だいひょう) representative<br>発表 (はっぴょう) announcement; publication; presenting<br>表れる (あらわれる) to appear; to become visible; to be expressed<br>表情 (ひょうじょう) facial expression<br>表面 (ひょうめん) surface; exterior		
vbak!GlMh`	要	ヨウ	い・る、かなめ	essence; main point; need	不要 (ふよう) unnecessary<br>主要 (しゅよう) main; principal<br>要求 (ようきゅう) demand; request; requirement<br>重要 (じゅうよう) important; essential<br>必要 (ひつよう) necessary		
MOMgX)n86^	観	カン		appearance; condition; view	観光 (かんこう) sightseeing<br>観光地 (かんこうち) tourist attraction<br>観光客 (かんこうきゃく) tourist<br>観客 (かんきゃく) spectator<br>観察 (かんさつ) observation		
m]j=do=hVe	記	キ	しる・す	mark; sign; to note; to scribe	上記 (じょうき) the above (text)<br>記事 (きじ) article; news story<br>記入 (きにゅう) entry; filling in; filling out<br>記録 (きろく) record; document<br>日記 (にっき) diary; journal		
jm`|+yC2&4	調	チョウ	しら・べる、ととの・う、ととの・える	prepare; arrange; investigate; move; transfer; tribute; tone; note	体調 (たいちょう) physical condition; state of health<br>強調 (きょうちょう) emphasis; highlight<br>調子 (ちょうし) tone; pitch; mood; manner<br>調査 (ちょうさ) survey<br>調べる (しらべる) to investigate; to look up		
HB9Dz,w0Bt	談	ダン		discuss; talk	冗談 (じょうだん) joke<br>相談 (そうだん) consultation; discussion		
